,User ID,Perfume Name,Sentiment
410,6031.0,Dior Homme Intense,1.0
413,9125.0,Dior Homme Intense,1.0
414,6125.0,Dior Homme Intense,1.0
415,4986.0,Dior Homme Intense,1.0
416,5649.0,Dior Homme Intense,1.0
417,7476.0,Dior Homme Intense,1.0
418,10278.0,Dior Homme Intense,1.0
419,7141.0,Dior Homme Intense,1.0
420,10018.0,Dior Homme Intense,-1.0
421,6283.0,Dior Homme Intense,-1.0
422,7167.0,Dior Homme Intense,1.0
423,9442.0,Dior Homme Intense,-1.0
424,9868.0,Dior Homme Intense,-1.0
425,8846.0,Dior Homme Intense,1.0
426,6735.0,Dior Homme Intense,1.0
428,7583.0,Dior Homme Intense,1.0
429,7560.0,Dior Homme Intense,1.0
430,6105.0,Dior Homme Intense,1.0
431,7489.0,Dior Homme Intense,1.0
433,9129.0,Dior Homme Intense,1.0
434,8586.0,Dior Homme Intense,-1.0
435,6580.0,Dior Homme Intense,-1.0
436,7545.0,Dior Homme Intense,1.0
437,7714.0,Dior Homme Intense,0.0
438,6281.0,Dior Homme Intense,-1.0
439,4672.0,Dior Homme Intense,1.0
440,7070.0,Dior Homme Intense,1.0
441,6040.0,Dior Homme Intense,-1.0
442,6144.0,Dior Homme Intense,-1.0
444,5902.0,Dior Homme Intense,-1.0
445,1064.0,Dior Homme Intense,-1.0
446,4609.0,Dior Homme Intense,1.0
447,11773.0,Dior Homme Intense,1.0
449,4739.0,Dior Homme Intense,1.0
450,4291.0,Dior Homme Intense,1.0
451,4209.0,Dior Homme Intense,1.0
453,3337.0,Dior Homme Intense,1.0
454,3462.0,Dior Homme Intense,1.0
455,2953.0,Dior Homme Intense,1.0
456,1167.0,Dior Homme Intense,1.0
457,841.0,Dior Homme Intense,1.0
458,1012.0,Dior Homme Intense,1.0
459,1465.0,Dior Homme Intense,-1.0
460,1347.0,Dior Homme Intense,1.0
461,1090.0,Dior Homme Intense,1.0
462,858.0,Dior Homme Intense,1.0
464,83443.0,Encre Noire,-1.0
465,85685.0,Encre Noire,-1.0
466,62239.0,Encre Noire,1.0
467,92151.0,Encre Noire,-1.0
469,91786.0,Encre Noire,1.0
470,90464.0,Encre Noire,-1.0
471,48163.0,Encre Noire,-1.0
472,89403.0,Encre Noire,1.0
474,89039.0,Encre Noire,-1.0
475,72241.0,Encre Noire,1.0
476,88259.0,Encre Noire,1.0
477,86899.0,Encre Noire,1.0
478,60259.0,Encre Noire,1.0
479,37966.0,Encre Noire,1.0
480,81643.0,Encre Noire,1.0
482,82330.0,Encre Noire,-1.0
484,60411.0,Encre Noire,1.0
485,45683.0,Encre Noire,1.0
486,68001.0,Encre Noire,-1.0
487,84009.0,Encre Noire,1.0
488,66453.0,Encre Noire,-1.0
489,13098.0,Encre Noire,1.0
490,50865.0,Encre Noire,1.0
491,41288.0,Encre Noire,-1.0
492,83972.0,Encre Noire,-1.0
493,84089.0,Encre Noire,1.0
494,42800.0,Encre Noire,-1.0
497,23567.0,Encre Noire,1.0
498,82696.0,Encre Noire,1.0
500,48859.0,Encre Noire,1.0
501,62333.0,Encre Noire,-1.0
503,76193.0,Encre Noire,-1.0
504,74121.0,Encre Noire,1.0
505,69400.0,Encre Noire,1.0
506,9245.0,Encre Noire,1.0
507,43945.0,Encre Noire,1.0
509,77692.0,Encre Noire,-1.0
510,36707.0,Encre Noire,1.0
512,76468.0,Encre Noire,-1.0
517,65274.0,Encre Noire,-1.0
519,35290.0,Encre Noire,1.0
521,39381.0,Encre Noire,1.0
522,71862.0,Encre Noire,1.0
523,49284.0,Encre Noire,1.0
524,73051.0,Encre Noire,1.0
525,73964.0,Encre Noire,1.0
526,45318.0,Encre Noire,-1.0
527,58755.0,Encre Noire,1.0
528,68781.0,Encre Noire,1.0
529,29838.0,Encre Noire,1.0
530,36172.0,Encre Noire,-1.0
531,71901.0,Encre Noire,1.0
532,69909.0,Encre Noire,-1.0
534,35488.0,Encre Noire,1.0
535,53339.0,Encre Noire,-1.0
537,37761.0,Encre Noire,1.0
538,71882.0,Encre Noire,-1.0
539,72652.0,Encre Noire,1.0
540,64715.0,Encre Noire,1.0
541,64755.0,Encre Noire,1.0
542,66517.0,Encre Noire,1.0
543,63581.0,Encre Noire,1.0
544,69822.0,Encre Noire,-1.0
545,23896.0,Encre Noire,1.0
547,36221.0,Encre Noire,1.0
548,21446.0,Encre Noire,1.0
549,40258.0,Encre Noire,1.0
550,60681.0,Encre Noire,1.0
551,46414.0,Encre Noire,1.0
553,62786.0,Encre Noire,1.0
554,37610.0,Encre Noire,1.0
555,57197.0,Encre Noire,1.0
556,40610.0,Encre Noire,1.0
558,57081.0,Encre Noire,1.0
559,35855.0,Encre Noire,1.0
560,55723.0,Encre Noire,-1.0
561,44752.0,Encre Noire,1.0
562,55175.0,Encre Noire,1.0
563,10391.0,Encre Noire,1.0
564,48692.0,Encre Noire,1.0
568,36742.0,Encre Noire,1.0
569,36347.0,Encre Noire,1.0
571,44828.0,Encre Noire,1.0
572,44284.0,Encre Noire,1.0
573,37029.0,Encre Noire,1.0
574,40451.0,Encre Noire,1.0
575,62047.0,Encre Noire,1.0
576,51055.0,Encre Noire,1.0
577,56405.0,Encre Noire,1.0
578,35956.0,Encre Noire,1.0
579,59318.0,Encre Noire,1.0
580,45622.0,Encre Noire,1.0
581,63590.0,Encre Noire,1.0
582,39222.0,Encre Noire,1.0
584,61645.0,Encre Noire,-1.0
585,43115.0,Encre Noire,1.0
586,64229.0,Encre Noire,1.0
587,53893.0,Encre Noire,1.0
588,60522.0,Encre Noire,1.0
589,38148.0,Encre Noire,1.0
590,22707.0,Encre Noire,-1.0
594,59139.0,Encre Noire,1.0
595,56079.0,Encre Noire,1.0
596,58773.0,Encre Noire,-1.0
597,58021.0,Encre Noire,1.0
598,40686.0,Encre Noire,1.0
599,48919.0,Encre Noire,1.0
601,58777.0,Encre Noire,1.0
603,38771.0,Encre Noire,1.0
604,38041.0,Encre Noire,-1.0
605,43036.0,Encre Noire,1.0
606,37075.0,Encre Noire,1.0
